Time,shadower,hero,adele,ark,bishop,archmage_fp
63,2.8330353698054155E12,2.1878213647626245E12,2.8406210813921533E12,1.3086013606754238E12,1.907690526317862E12,1.2008541123102698E12
64,2.8976357755543115E12,2.2041212125173286E12,2.8642596127674297E12,1.262218013555994E12,1.9059758309656606E12,1.2079752626090623E12
65,2.9747744872490264E12,2.331972316539642E12,2.9237955223611333E12,1.2711817269287195E12,1.8697669245937258E12,1.2115304387164019E12
66,3.0287715854353267E12,2.380871859803754E12,2.983331431954837E12,1.3035994052959705E12,1.7325392573782864E12,1.215945551901653E12
67,3.0877592323300566E12,2.3809255078370024E12,3.004594256809731E12,1.3360170836632214E12,1.694546167677745E12,1.4057804374851782E12
68,3.1290505851563677E12,2.446303913302958E12,3.025857081664625E12,1.3155202114404194E12,1.6598705532050388E12,1.435606018253514E12
69,3.1742895265113145E12,2.496023787089413E12,3.047119906519519E12,1.3058870025072468E12,1.7026909530916042E12,1.4654315990218496E12
70,3.1806645665523237E12,2.510289078900806E12,3.068382731374413E12,1.336479361146612E12,1.7312378863493147E12,1.4952571797901853E12
71,3.1992923659337725E12,2.5265889266555103E12,3.089645556229307E12,1.330621234756656E12,1.7597848196070251E12,1.4953514489860896E12
72,3.217920165315221E12,2.6331315133407715E12,3.1887960628311616E12,1.3159167515764968E12,1.8454256193801562E12,1.4953962346838115E12
73,3.218083906939379E12,2.760982617363085E12,3.2100588876860557E12,1.346509110215862E12,1.9126993460674216E12,1.4954598115833748E12
74,3.2588841632018394E12,2.809882160627197E12,3.2313217125409497E12,1.3771014688552273E12,1.7453936686250515E12,1.4990149876907144E12
75,3.336022874896554E12,2.8752605660931523E12,3.254960243916226E12,1.3828217009919832E12,1.7049591286057363E12,1.5034301008759656E12
76,3.3900199730828545E12,2.9249804398796074E12,3.3144961535099297E12,1.3855101241100054E12,1.7722328552930017E12,1.5908055678141633E12
77,3.4352589144378013E12,2.9392457316910005E12,3.3740320631036333E12,1.4161024827493706E12,1.5784171333044778E12,1.620631148582499E12
78,3.4942465613325312E12,2.9555455794457046E12,3.3952948879585273E12,1.4466948413887358E12,1.6456908599917432E12,1.6504567293508347E12
79,3.5355379141588423E12,3.083396683468018E12,3.4165577128134214E12,1.4139305895624988E12,1.6479333175479854E12,1.6802823101191704E12
80,4.0344968261619316E12,3.13229622673213E12,3.4378205376683154E12,2.5009458626255415E12,1.5573487596435034E12,1.710107890887506E12
81,4.075297082424392E12,3.182016100518585E12,3.4590833625232095E12,2.402598570797073E12,1.62574371510889E12,1.7102021600834104E12
82,4.152435794119107E12,3.196281392329978E12,3.6341835949326655E12,2.391236165948387E12,1.676350695978791E12,1.7102469457811323E12
83,4.206432892305407E12,3.212581240084682E12,3.6681280642737656E12,2.4054991239775347E12,1.7008947305569688E12,1.7103105226806956E12
84,4.2128079323464165E12,3.3404323441069956E12,3.6893908891286597E12,2.419762082006682E12,1.7971991502792742E12,1.710529753368845E12
85,4.231435731727865E12,3.3893318873711074E12,3.7106537139835537E12,2.4340250400358296E12,1.7303013616899756E12,1.7489030744437424E12
86,4.231599473352023E12,3.389385535404356E12,3.7319165388384478E12,2.448287998064977E12,1.7945043081715125E12,1.756024224742535E12
87,4.290587120246753E12,3.4547639408703115E12,3.753179363693342E12,2.4625509560941245E12,1.767265431485573E12,1.7595794008498745E12
88,4.331878473073064E12,3.5044838146567666E12,3.774442188548236E12,2.476813914123272E12,1.5824958303704812E12,1.7639945140351257E12
89,4.338253513114073E12,3.5187491064681597E12,3.838003572912868E12,2.4910768721524194E12,1.5794250501647527E12,1.8467605006672576E12
90,4.356881312495522E12,3.535048954222864E12,3.8616421042881445E12,2.505339830181567E12,1.5763542699590242E12,1.8584336019413564E12
91,4.3570450541196797E12,3.6629000582451772E12,3.885280635663421E12,2.588313008577036E12,1.6258400220508042E12,1.865554752240149E12
92,4.39784531038214E12,3.711799601509289E12,3.9089191670386973E12,2.6025759666061836E12,1.7221444417731096E12,1.8953803330084846E12
93,4.474984022076855E12,3.726064893320682E12,3.968455076632401E12,2.616838924635331E12,1.719073661567381E12,1.9252059137768203E12
94,4.528981120263156E12,3.742364741075386E12,4.0279909862261045E12,2.6311018826644785E12,1.6794904342189712E12,1.955031494545156E12
95,4.5476089196446045E12,3.8702158450976997E12,4.087526895819808E12,2.645364840693626E12,1.7071809335578267E12,1.9551257637410603E12
96,4.547772661268762E12,3.9191153883618115E12,4.1449365229280225E12,2.707009211442565E12,1.7348714328966821E12,1.9551893406406235E12
97,4.606760308163492E12,3.984493793827767E12,4.202346150036237E12,2.642589986603081E12,1.8179429309132488E12,1.955408571328773E12
98,4.648051660989804E12,4.034213667614222E12,4.259755777144451E12,2.598471180694042E12,1.8831983847141553E12,1.9589637474361125E12
99,4.654426701030813E12,4.048478959425615E12,4.2980288618832607E12,2.619187731519505E12,1.5174463896022231E12,1.9633788606213638E12
100,4.695226957293274E12,4.0647788071803193E12,4.397179368485115E12,2.6644609742990537E12,1.542392785402994E12,2.1868470245281196E12
101,4.772365668987989E12,4.192629911202633E12,4.431123837826215E12,2.64630625396095E12,1.623962102654127E12,2.224091718512579E12
102,4.82636276717429E12,4.2415294544667446E12,4.465068307167314E12,2.6605692119900977E12,1.5816347717676323E12,2.2339284007919775E12
103,4.781123825819344E12,4.259754183577776E12,4.438437528437636E12,2.674832170019245E12,1.6468902255685388E12,2.2872246800626685E12
104,4.781287567443501E12,4.274019475389169E12,4.45970035329253E12,2.6890951280483926E12,1.6191539947923508E12,3.0147188921076E12
105,4.840275214338231E12,4.290319323143873E12,4.480963178147425E12,3.015759764845024E12,1.551108706016027E12,3.0338071501950923E12
106,4.881566567164543E12,4.418170427166187E12,4.500808481345326E12,2.971640958935985E12,1.6163641598169336E12,3.040928300493885E12
107,4.922366823427004E12,4.467069970430298E12,4.564369865709959E12,2.9859039169651323E12,1.5573900017778992E12,3.041022569689789E12
108,4.999505535121719E12,4.467123618463546E12,4.627931250074592E12,3.00016687499428E12,1.58233639757867E12,3.041067355387511E12
109,5.05350263330802E12,4.481388910274938E12,4.651569781449868E12,3.0144298330234272E12,1.663905714829803E12,3.0411309322870747E12
110,4.670910361148722E12,4.497688758029643E12,4.675208312825145E12,3.0286927910525747E12,1.5943105646438608E12,3.041146278435245E12
111,4.671074102772879E12,4.625539862051956E12,4.698846844200421E12,3.0739660338321235E12,1.6595660184447673E12,3.0413655091233945E12
112,4.730061749667609E12,4.674439405316067E12,4.758382753794125E12,3.05581131349402E12,1.4872135391661453E12,3.04157221234365E12
113,4.771353102493921E12,4.653650477035263E12,4.817918663387829E12,3.0700742715231675E12,1.4637220119073372E12,3.0844600417803E12
114,4.174324581742178E12,4.667915768846655E12,4.877454572981533E12,3.084337229552315E12,1.4647745192267068E12,3.0915811920790923E12
115,4.247559512480683E12,4.684215616601359E12,4.936990482575237E12,3.0986001875814624E12,1.409992370171522E12,3.098702342377885E12
116,4.298823963997636E12,4.812066720623673E12,4.994400109683451E12,3.0544813816724233E12,1.491561687422655E12,3.1058234926766772E12
117,3.8703344591639136E12,4.860966263887784E12,5.051809736791665E12,3.0686498830258813E12,1.493666702061394E12,3.1129446429754697E12
118,3.8704982007880713E12,4.666348893266678E12,5.109219363899879E12,3.0569487554840933E12,1.495771716700133E12,3.120065793274262E12
119,3.9265006428804365E12,4.682648741021382E12,5.166628991008093E12,3.0712117135132407E12,1.349015779319058E12,3.1271869435730547E12
